make,model,city,price,year,km,type,cc,mode
Toyota,Vitz,Karachi,26.3,2018,"26,000",Petrol,1000,Automatic
Toyota,Vitz,Lahore,21.5,2014,"115,000",Petrol,1000,Automatic
Toyota,Prado,Lahore,1.34,2012,"84,000",Petrol,2700,Automatic
Toyota,Vitz,Karachi,,2014,"71,863",Petrol,1000,Automatic
Toyota,Fortuner,Karachi,63,2016,"74,110",Petrol,2700,Automatic
Toyota,Prado,Islamabad,24.75,2001,"185,000",Diesel,2800,Manual
Toyota,Prado,Islamabad,28.75,2001,"185,000",Diesel,2800,Manual
Toyota,Land,Islamabad,,2007,"178,000",Diesel,4200,Manual
Toyota,Prado,Islamabad,,2014,"59,000",Petrol,4000,Automatic
Toyota,Rav,Islamabad,,2007,"71,000",Petrol,2400,Automatic
Toyota,Noah,Karachi,,2016,"6,800",Hybrid,1500,Automatic
Toyota,Vitz,Bahawalpur,25.9,2018,"9,000",Petrol,1000,Automatic
Toyota,Corolla,Karachi,20.5,2014,"91,000",Petrol,1300,Manual
Toyota,Passo,Karachi,24,2018,"6,000",Petrol,1000,Automatic
Toyota,Passo,Karachi,23.5,2018,"16,500",Petrol,1000,Automatic
Toyota,Hilux,Karachi,62.5,2017,"45,000",Diesel,3000,Automatic
Toyota,Corolla,Karachi,19,2011,"100,000",Petrol,1300,Manual
Toyota,Corolla,Faisalabad,37.75,2018,"33,000",Petrol,1800,Automatic
Toyota,Land,Karachi,3.94,2018,"32,000",Petrol,4600,Automatic
Toyota,Corolla,Lahore,22,2014,"70,000",Petrol,1800,Manual
Toyota,Corolla,Karachi,16.5,2011,"92,000",Petrol,1300,Manual
Toyota,Surf,Karachi,49,2006,"113,000",Petrol,2700,Automatic
Toyota,Duet,Karachi,3.5,2003,"90,000",Petrol,1300,Automatic
Toyota,Prius,Rawalpindi,26.5,2011,"100,000",Hybrid,1800,Automatic
Toyota,Passo,Karachi,13,2007,"60,000",Petrol,1000,Automatic
Toyota,Corolla,Hyderabad,28,2017,"66,000",Petrol,1300,Manual
Toyota,Vitz,Karachi,18.5,2013,"118,000",Petrol,1000,Automatic
Toyota,Aqua,Peshawar,29,2015,"108,227",Petrol,1500,Automatic
Toyota,Corolla,Karachi,29.5,2019,"25,000",Petrol,1300,Automatic
Toyota,Prado,Lahore,85,2011,"75,000",Petrol,4000,Automatic
Toyota,Corolla,Daska,27,2015,"95,000",Petrol,1300,Automatic
Toyota,Corolla,Lahore,23.7,2015,"144,652",Petrol,1300,Automatic
Toyota,Fortuner,Jhelum,1.08,2021,5,Diesel,2800,Automatic
Toyota,Corolla,Karachi,23,2015,"113,000",Petrol,1300,Manual
Toyota,C,Peshawar,52.5,2017,"85,000",Hybrid,1800,Automatic
Toyota,Corolla,Peshawar,33.25,2017,"60,000",Petrol,1600,Automatic
Toyota,Land,Islamabad,3.65,2016,"30,000",Petrol,4600,Automatic
Toyota,Prado,Lahore,1.88,2017,"42,000",Petrol,2700,Automatic
Toyota,Hiace,Karachi,52,2017,"12,000",Petrol,2700,Automatic
Toyota,Hiace,Karachi,40.5,2016,"144,000",Petrol,2700,Automatic
Toyota,Prado,Karachi,80,2007,"112,000",Petrol,2700,Automatic
Toyota,Hiace,Karachi,52.5,2017,"92,000",Petrol,2700,Automatic
Toyota,Yaris,Karachi,78,2021,10,Hybrid,1500,Automatic
Toyota,Land,Karachi,3.7,2017,"35,000",Petrol,4608,Automatic
Toyota,Hilux,Karachi,71,2019,"42,000",Diesel,2800,Automatic
Toyota,Prado,Karachi,1.48,2012,"74,000",Petrol,4000,Automatic
Toyota,Prius,Karachi,22.75,2011,"94,000",Hybrid,1500,Automatic
Toyota,Prius,Islamabad,25,2011,"200,000",Hybrid,1800,Automatic
Toyota,Hilux,Rahim Yar Khan,82.25,2021,10,Diesel,2800,Automatic
Toyota,Yaris,Islamabad,24,2015,"150,000",Hybrid,1500,Automatic
Toyota,Land,Karachi,57,1998,"107,000",Petrol,4663,Automatic
Toyota,Corolla,Lahore,26.25,2017,"67,000",Petrol,1300,Automatic
Toyota,Aqua,Karachi,22,2013,"104,000",Hybrid,1500,Automatic
Toyota,Corolla,Hangu,22.7,2013,"145,000",Petrol,1300,Manual
Toyota,Corolla,Karachi,25,2017,"100,000",Petrol,1300,Manual
Toyota,Prius,Bahawalpur,23.8,2010,"135,000",Petrol,1800,Automatic
Toyota,Corolla,Rawalpindi,10.95,1988,"200,000",Petrol,1500,Automatic
Toyota,Vitz,Karachi,,2014,"71,863",Petrol,1000,Automatic
Toyota,Land,Lahore,3.65,2017,"39,000",Petrol,4608,Automatic
Toyota,Corolla,Gujrat,28.5,2015,"100,000",Petrol,1800,Automatic
Toyota,Corolla,Quetta,9,1988,"100,000",Petrol,1500,Manual
Toyota,Corolla,Peshawar,8.6,1995,"12,312",Petrol,1300,Automatic
Toyota,Corolla,Lahore,24.2,2012,"108,000",Petrol,1600,Automatic
Toyota,Corolla,Nowshera,21.5,2011,"100,000",Petrol,1300,Manual
Toyota,Vitz,Karachi,,2018,"37,000",Petrol,1000,Automatic
Toyota,Corolla,Karachi,34.25,2020,"6,000",Petrol,1300,Automatic
Toyota,Vitz,Gujranwala,25.95,2018,"84,000",Petrol,1000,Automatic
Toyota,Corolla,Lahore,36.2,2018,"8,000",Petrol,1600,Automatic
Toyota,Crown,Quetta,40.5,2004,"69,852",Petrol,3000,Automatic
Toyota,Corolla,Karachi,24.3,2015,"64,000",Petrol,1300,Automatic
Toyota,Corolla,Karachi,21.5,2006,"100,000",Petrol,1300,Automatic
Toyota,Hilux,Karachi,56,2016,"181,000",Diesel,2500,Automatic
Toyota,Corolla,Karachi,38.75,2021,1,Petrol,1800,Automatic
Toyota,Corolla,Karachi,33.5,2021,1,Petrol,1600,Automatic
Toyota,Aqua,Karachi,33,2018,"21,000",Petrol,1500,Automatic
Toyota,Hilux,Karachi,85,2021,50,Diesel,2800,Automatic
Toyota,Land,Karachi,3.1,2016,"90,000",Petrol,4608,Automatic
Toyota,Corolla,Karachi,20.75,2004,"185,000",Petrol,1300,Automatic
Toyota,Corolla,Karachi,29.75,2017,"34,000",Petrol,1600,Automatic
Toyota,Corolla,Karachi,17,2009,"179,000",Petrol,1800,Automatic
Toyota,Prado,Karachi,2.05,2017,"21,000",Petrol,2700,Automatic
Toyota,Yaris,Karachi,,2021,1,Hybrid,1500,Automatic
Toyota,Fortuner,Karachi,1.01,2021,1,Petrol,2700,Automatic
Toyota,Land,Sialkot,17.75,1991,"235,000",Diesel,3400,Manual
Toyota,Corolla,Lahore,30.8,2017,"72,000",Petrol,1600,Automatic
Toyota,Fortuner,Karachi,63,2016,"74,110",Petrol,2700,Automatic
Toyota,Corona,Rawalpindi,3.9,1960,"100,000",Petrol,1300,Manual
Toyota,Corolla,Sialkot,31.25,2015,"50,000",Petrol,1800,Automatic
Toyota,Land,Lahore,1.57,2008,"90,000",Petrol,4600,Automatic
Toyota,Vitz,Multan,26,2018,"30,000",Petrol,1000,Automatic
Toyota,Passo,Karachi,20.15,2015,"61,000",Petrol,1000,Automatic
Toyota,Corolla,Islamabad,32.75,2016,"75,000",Petrol,1800,Automatic
Toyota,Corolla,Lahore,17.5,2009,"260,000",Petrol,1300,Manual
Toyota,Corolla,Karachi,27.25,2017,"82,000",Petrol,1300,Automatic
Toyota,Prado,Islamabad,24.75,2001,"185,000",Diesel,2800,Manual
Toyota,Prado,Islamabad,28.75,2001,"185,000",Diesel,2800,Manual
Toyota,Land,Islamabad,,2007,"178,000",Diesel,4200,Manual
Toyota,Corolla,Jhang,14.75,2004,"70,000",Diesel,2000,Manual
Toyota,Prado,Islamabad,,2014,"59,000",Petrol,4000,Automatic
Toyota,Vitz,Lahore,32.5,2018,"30,000",Hybrid,1500,Automatic
Toyota,Rav,Islamabad,,2007,"71,000",Petrol,2400,Automatic
Toyota,Corolla,Rawalpindi,19.9,2012,"113,000",Petrol,1600,Automatic
Toyota,Aqua,Islamabad,37.75,2018,"38,657",Hybrid,1500,Automatic
Toyota,Corolla,Rawalpindi,18.75,2013,"135,000",Petrol,1300,Manual
Toyota,Noah,Karachi,,2016,"6,800",Hybrid,1500,Automatic
Toyota,Corolla,Karachi,28.4,2017,"28,000",Petrol,1300,Automatic
Toyota,Corolla,Khanewal,33,2020,"24,450",Petrol,1300,Automatic
Toyota,Vitz,Bahawalpur,25.9,2018,"9,000",Petrol,1000,Automatic
Toyota,Prado,Karachi,1.65,2015,"53,000",Petrol,2700,Automatic
Toyota,Fortuner,Karachi,1.08,2021,1,Diesel,2800,Automatic
Toyota,Vitz,Karachi,27.5,2018,"66,134",Petrol,1000,Automatic
Toyota,Corolla,Karachi,31,2018,"46,000",Petrol,1300,Automatic
Toyota,Aqua,Karachi,21.75,2013,"118,038",Hybrid,1500,Automatic
Toyota,Aqua,Karachi,36.5,2017,"67,740",Hybrid,1500,Automatic
Toyota,Vitz,Karachi,19.75,2013,"72,000",Petrol,1000,Automatic
Toyota,Aqua,Karachi,32,2018,"16,000",Hybrid,1500,Automatic
Toyota,Corolla,Karachi,31.5,2018,"10,000",Petrol,1300,Manual
Toyota,Passo,Islamabad,19,2014,"117,000",Petrol,1000,Automatic
Toyota,Corolla,Karachi,29.5,2020,"15,000",Petrol,1300,Manual
Toyota,Hilux,Karachi,73.35,2021,"9,000",Diesel,2800,Automatic
Toyota,Vitz,Lahore,24.95,2017,"43,000",Petrol,1000,Automatic
Toyota,Hilux,Islamabad,7.85,2020,"7,000",Diesel,2800,Automatic
Toyota,Duet,Lahore,7,2006,"14,500",Petrol,1000,Automatic
Toyota,Vitz,Karachi,12.5,2002,"90,000",Petrol,1000,Automatic
Toyota,Corolla,Karachi,27.85,2015,"100,000",Petrol,1600,Automatic
Toyota,Prius,Hyderabad,26.8,2012,173,Petrol,1800,Automatic
Toyota,C,Peshawar,52.5,2017,"85,000",Hybrid,1800,Automatic
Toyota,Duet,Lahore,7.2,2006,"135,000",Petrol,1000,Automatic
Toyota,Corolla,Peshawar,33.25,2017,"60,000",Petrol,1600,Automatic
Toyota,Corolla,Lahore,14.65,2009,"189,000",Petrol,1300,Manual
Toyota,Vitz,Karachi,27,2018,"36,000",Petrol,1000,Automatic
Toyota,Corolla,Peshawar,11.5,1996,"120,000",Petrol,1800,Automatic
Toyota,Fortuner,Islamabad,82.5,2018,"55,000",Petrol,2700,Automatic
Toyota,Aqua,Rawalpindi,29,2015,"130,000",Hybrid,1500,Automatic
Toyota,Corolla,Islamabad,22.8,2014,"88,000",Petrol,1300,Manual
Toyota,Surf,Chunian,23,1996,"100,000",Diesel,3000,Automatic
Toyota,Land,Islamabad,3.65,2016,"30,000",Petrol,4600,Automatic
Toyota,Land,Islamabad,2.7,2016,"84,000",Petrol,4608,Automatic
Toyota,Prius,Islamabad,25.1,2010,"110,000",Petrol,1800,Automatic
Toyota,Prius,Peshawar,21.5,2007,"133,000",Petrol,1500,Automatic
Toyota,Vitz,Lahore,25.1,2017,"58,000",Petrol,1000,Automatic
Toyota,Corolla,Karachi,24.8,2017,"72,000",Petrol,1300,Manual
Toyota,Prado,Lahore,1.88,2017,"42,000",Petrol,2700,Automatic
Toyota,Vitz,Karachi,25.65,2018,"47,200",Petrol,1000,Automatic
Toyota,Duet,Lahore,7,2006,"14,500",Petrol,1000,Automatic
Toyota,Aqua,Gujranwala,20.95,2013,"76,280",Hybrid,1500,Automatic
Toyota,Fortuner,Kamalia,88,2019,"34,000",Petrol,2700,Automatic
Toyota,Corolla,Lahore,27.25,2015,"60,000",Petrol,1600,Automatic
Toyota,Corolla,Islamabad,31.9,2016,"82,000",Petrol,1800,Automatic
Toyota,Prado,Multan,2.19,2017,"44,900",Petrol,2700,Automatic
Toyota,Prius,Karachi,31,2014,"75,000",Petrol,1800,Automatic
Toyota,Corolla,Peshawar,44,2018,"42,000",Petrol,1500,Automatic
Toyota,Corolla,Peshawar,32.5,2018,"9,000",Petrol,1300,Automatic
Toyota,Hilux,Gujranwala,81.75,2021,5,Diesel,2800,Automatic
Toyota,Land,Karachi,1.55,2008,"74,000",Petrol,4600,Automatic
Toyota,Passo,Islamabad,19.5,2014,"27,000",Petrol,1000,Automatic
Toyota,Premio,Lahore,29,2008,"152,000",Petrol,1800,Automatic
Toyota,Vitz,Gujrat,12.8,2005,"233,000",Petrol,1000,Automatic
Toyota,Prius,Islamabad,32.5,2014,"140,000",Petrol,1800,Automatic
Toyota,Duet,Lahore,7.25,2006,"150,000",Petrol,1000,Automatic
Toyota,Corolla,Lahore,25,2015,"88,250",Petrol,1300,Automatic
Toyota,Corolla,Lahore,36.4,2021,1,Petrol,1600,Automatic
Toyota,Vitz,Karachi,24.8,2018,"101,000",Petrol,1000,Automatic
Toyota,Prado,Islamabad,76,2006,"144,000",Diesel,3000,Automatic
Toyota,Prius,Islamabad,4.6,2017,"42,000",Petrol,1800,Automatic
Toyota,Fortuner,Sialkot,88,2018,"12,000",Petrol,2700,Automatic
